"towntype_Pullman","saledate","revenue","tot_items","avg_price_peritem","perc.cart_oil","perc.hash_kief","perc.wax_shatter_dab_resin","perc.uncategorized"
"Pullman",2015-11-11,3011.2463,71,42.4119197183099,0.169014084507042,0.028169014084507,0.605633802816901,0.183098591549296
"Pullman",2015-11-12,2354.208,43,54.749023255814,0.348837209302326,0,0.511627906976744,0.13953488372093
"Pullman",2015-11-13,3595.3869,84,42.802225,0.226190476190476,0.0357142857142857,0.607142857142857,0.130952380952381
"Pullman",2015-11-14,3726.9069,79,47.1760367088608,0.215189873417722,0.0759493670886076,0.594936708860759,0.113924050632911
"Pullman",2015-11-15,3084.8427,65,47.4591184615385,0.215384615384615,0.0615384615384615,0.584615384615385,0.138461538461538
"Pullman",2015-11-16,2080.4957,42,49.5356119047619,0.333333333333333,0,0.619047619047619,0.0476190476190476
"Pullman",2015-11-17,3172.3309,66,48.0656196969697,0.166666666666667,0.0151515151515152,0.636363636363636,0.181818181818182
"Pullman",2015-11-18,2654.3065,58,45.7639051724138,0.189655172413793,0.0344827586206897,0.517241379310345,0.258620689655172
"Pullman",2015-11-19,3333.621,70,47.6231571428571,0.342857142857143,0.0142857142857143,0.485714285714286,0.157142857142857
"Pullman",2015-11-20,4298.0325,88,48.8412784090909,0.306818181818182,0,0.465909090909091,0.215909090909091
"Pullman",2015-11-21,5508.0165,107,51.4767897196262,0.186915887850467,0.00934579439252336,0.579439252336449,0.214953271028037
"Pullman",2015-11-22,3128.1895,68,46.0027867647059,0.294117647058824,0.0294117647058824,0.485294117647059,0.191176470588235
"Pullman",2015-11-23,2324.753,58,40.0819482758621,0.275862068965517,0.0344827586206897,0.603448275862069,0.0862068965517241
"Pullman",2015-11-24,3838.5208,86,44.6339627906977,0.197674418604651,0.0581395348837209,0.523255813953488,0.209302325581395
"Pullman",2015-11-25,3754.6357,70,53.6376528571429,0.242857142857143,0,0.557142857142857,0.2
"Pullman",2015-11-26,1381.3025,26,53.1270192307692,0.346153846153846,0,0.5,0.153846153846154
"Pullman",2015-11-27,2297.1338,45,51.0474177777778,0.266666666666667,0,0.533333333333333,0.177777777777778
"Pullman",2015-11-28,2753.2479,53,51.9480735849057,0.169811320754717,0,0.622641509433962,0.188679245283019
"Pullman",2015-11-29,3206.896,75,42.7586133333333,0.146666666666667,0.0266666666666667,0.773333333333333,0.0533333333333333
"Pullman",2015-11-30,2019.0375,44,45.8872159090909,0.204545454545455,0.0454545454545455,0.659090909090909,0.0909090909090909
"Pullman",2015-12-01,2705.5445,65,41.6237615384615,0.184615384615385,0.0461538461538462,0.676923076923077,0.0769230769230769
"Pullman",2015-12-02,2685.8165,59,45.522313559322,0.220338983050847,0.0169491525423729,0.694915254237288,0.0677966101694915
"Pullman",2015-12-03,2797.4441,66,42.3855166666667,0.136363636363636,0.0303030303030303,0.712121212121212,0.106060606060606
"Pullman",2015-12-04,3290.0276,65,50.6158092307692,0.246153846153846,0.0153846153846154,0.646153846153846,0.0769230769230769
"Pullman",2015-12-05,4204.393,92,45.6999239130435,0.16304347826087,0,0.804347826086957,0.0326086956521739
"Pullman",2015-12-06,2276.9126,55,41.3984109090909,0.145454545454545,0.0181818181818182,0.745454545454545,0.0909090909090909
"Pullman",2015-12-07,1943.3176,48,40.4857833333333,0.1875,0,0.75,0.0625
