"towntype","saledate","tot_items","perc_cartridge","perc_oil","perc_hash_kief","perc_wax_shatter_resin","perc_uncategorized"
"Airway Heights",2016-01-31,44,0.0909090909090909,0,0.0227272727272727,0.818181818181818,0.0681818181818182
"Airway Heights",2016-02-01,42,0.142857142857143,0,0,0.857142857142857,0
"Airway Heights",2016-02-02,38,0.210526315789474,0,0.0263157894736842,0.710526315789474,0.0526315789473684
"Airway Heights",2016-02-03,44,0.136363636363636,0,0.0227272727272727,0.818181818181818,0.0227272727272727
"Airway Heights",2016-02-04,45,0.133333333333333,0,0.0222222222222222,0.844444444444444,0
"Airway Heights",2016-02-05,41,0.0487804878048781,0,0,0.804878048780488,0.146341463414634
"Airway Heights",2016-02-06,67,0.17910447761194,0.0597014925373134,0.0298507462686567,0.402985074626866,0.328358208955224
"Airway Heights",2016-02-07,75,0.173333333333333,0.08,0.0266666666666667,0.466666666666667,0.253333333333333
"Airway Heights",2016-02-08,13,0.153846153846154,0.0769230769230769,0.0769230769230769,0.230769230769231,0.461538461538462
"Airway Heights",2016-02-09,37,0.108108108108108,0.0540540540540541,0,0.405405405405405,0.432432432432432
"Airway Heights",2016-02-10,43,0.116279069767442,0.0232558139534884,0.0232558139534884,0.558139534883721,0.27906976744186
"Airway Heights",2016-02-11,59,0.203389830508475,0,0,0.440677966101695,0.355932203389831
"Airway Heights",2016-02-12,65,0.153846153846154,0.0307692307692308,0.0153846153846154,0.415384615384615,0.384615384615385
"Airway Heights",2016-02-13,69,0.115942028985507,0.072463768115942,0.0434782608695652,0.405797101449275,0.36231884057971
"Airway Heights",2016-02-14,55,0.109090909090909,0.0727272727272727,0,0.345454545454545,0.472727272727273
"Airway Heights",2016-02-15,39,0.153846153846154,0.0769230769230769,0,0.205128205128205,0.564102564102564
"Airway Heights",2016-02-16,40,0.15,0,0,0.275,0.575
"Airway Heights",2016-02-17,32,0.15625,0.15625,0,0.1875,0.5
"Airway Heights",2016-02-18,45,0.155555555555556,0.0444444444444444,0,0.377777777777778,0.422222222222222
"Airway Heights",2016-02-19,55,0.163636363636364,0.0181818181818182,0.0181818181818182,0.509090909090909,0.290909090909091
"Airway Heights",2016-02-20,82,0.182926829268293,0.0121951219512195,0.0365853658536585,0.402439024390244,0.365853658536585
"Airway Heights",2016-02-21,46,0.173913043478261,0.0652173913043478,0.0434782608695652,0.391304347826087,0.326086956521739
"Airway Heights",2016-02-22,33,0.151515151515152,0.0606060606060606,0,0.545454545454545,0.242424242424242
"Airway Heights",2016-02-23,50,0.16,0.06,0,0.36,0.42
"Airway Heights",2016-02-24,37,0.135135135135135,0,0.0540540540540541,0.486486486486487,0.324324324324324
"Airway Heights",2016-02-25,46,0.0869565217391304,0.0652173913043478,0.0217391304347826,0.369565217391304,0.456521739130435
"Airway Heights",2016-02-26,57,0.175438596491228,0.0350877192982456,0.0526315789473684,0.403508771929825,0.333333333333333
"Airway Heights",2016-02-27,83,0.180722891566265,0.0481927710843374,0.0481927710843374,0.325301204819277,0.397590361445783
