"towntype","saledate","revenue","tot_items","avg_price_peritem","perc_usable","perc_extract","perc_edible","perc_other"
"Pullman",2015-12-09,16373.9797,514,31.8559916342412,0.745136186770428,0.118677042801556,0.0719844357976654,0.0642023346303502
"Ellensburg",2015-12-09,13592.729,548,24.80425,0.746350364963504,0.12956204379562,0.0967153284671533,0.0273722627737226
"Airway Heights",2015-12-09,6773.9513,279,24.2793953405018,0.802867383512545,0.114695340501792,0.0824372759856631,0
NA,2015-12-09,322.1418,10,32.21418,1,0,0,0
"Urban",2015-12-10,795300.044107,31753,25.0464536927849,0.762227191131547,0.122508109469971,0.0924951973041917,0.0227695020942903
"NCNU",2015-12-10,718928.445108,28457,25.2636766035773,0.790561197596373,0.109217415750079,0.0789963805039182,0.0212250061496293
"Pullman",2015-12-10,18655.0434,610,30.5820383606557,0.704918032786885,0.111475409836066,0.129508196721311,0.0540983606557377
"Ellensburg",2015-12-10,13133.1077,576,22.8005342013889,0.71875,0.149305555555556,0.107638888888889,0.0243055555555556
"Airway Heights",2015-12-10,8054.8191,318,25.3296198113208,0.79874213836478,0.113207547169811,0.0880503144654088,0
NA,2015-12-10,161.0572,5,32.21144,1,0,0,0
"Urban",2015-12-11,974188.523084,37066,26.2825371791939,0.749392974693789,0.12661198942427,0.101143905465926,0.0228511304160147
"NCNU",2015-12-11,886702.62852,33515,26.4568888115769,0.786125615396091,0.11027897956139,0.0816052513799791,0.0219901536625392
"Pullman",2015-12-11,20312.3735,655,31.0112572519084,0.76793893129771,0.109923664122137,0.0687022900763359,0.0534351145038168
"Ellensburg",2015-12-11,14931.3834,650,22.9713590769231,0.723076923076923,0.18,0.0815384615384615,0.0153846153846154
"Airway Heights",2015-12-11,9090.0733,341,26.6571064516129,0.832844574780059,0.093841642228739,0.0733137829912024,0
NA,2015-12-11,190.5122,8,23.814025,1,0,0,0
"Urban",2015-12-12,1115617.866111,43675,25.5436260128449,0.736485403548941,0.120412135088724,0.118030910131654,0.0250715512306812
"NCNU",2015-12-12,1000353.91169,37761,26.4917219271206,0.773125711713143,0.109954715182331,0.0936151055321628,0.023304467572363
"Pullman",2015-12-12,25000.7327,769,32.5107057217165,0.684005201560468,0.132639791937581,0.128738621586476,0.0546163849154746
"Ellensburg",2015-12-12,15098.496,694,21.755757925072,0.757925072046109,0.142651296829971,0.0749279538904899,0.0244956772334294
"Airway Heights",2015-12-12,8827.8416,345,25.5879466666667,0.733333333333333,0.153623188405797,0.11304347826087,0
NA,2015-12-12,185.2514,7,26.4644857142857,1,0,0,0
"Urban",2015-12-13,812513.343621,33754,24.0716165082953,0.739349410440244,0.119363630977069,0.115778870652367,0.0255080879303194
"NCNU",2015-12-13,694504.636807,27897,24.8953162278023,0.786464494390078,0.100799369107789,0.0896512169767359,0.023084919525397
"Pullman",2015-12-13,16864.3712,631,26.7264202852615,0.741679873217116,0.110935023771791,0.115689381933439,0.0316957210776545
"Ellensburg",2015-12-13,10450.2915,496,21.0691360887097,0.713709677419355,0.127016129032258,0.133064516129032,0.0262096774193548
"Airway Heights",2015-12-13,6196.2771,251,24.6863629482072,0.756972111553785,0.139442231075697,0.103585657370518,0
NA,2015-12-13,78.6243,3,26.2081,1,0,0,0
"Urban",2015-12-14,722397.778993,28450,25.3918375744464,0.747697715289982,0.12481546572935,0.101124780316344,0.0263620386643234
"NCNU",2015-12-14,599534.722135,23514,25.4969261773837,0.797992685208812,0.107255252190185,0.0759122225057413,0.0188398400952624
"Pullman",2015-12-14,14689.8935,477,30.7964224318658,0.767295597484277,0.0943396226415094,0.10482180293501,0.0335429769392034
"Ellensburg",2015-12-14,10534.7657,457,23.0520037199125,0.741794310722101,0.144420131291028,0.0809628008752735,0.0328227571115974
"Airway Heights",2015-12-14,4841.6211,196,24.7021484693878,0.836734693877551,0.0816326530612245,0.0816326530612245,0
NA,2015-12-14,142.1238,4,35.53095,1,0,0,0
"Urban",2015-12-15,792865.321207,31680,25.0273144320391,0.761521464646465,0.117992424242424,0.0959911616161616,0.0244949494949495
"NCNU",2015-12-15,708501.96229,28781,24.6170029634134,0.79020881831764,0.10586845488343,0.0815468538271776,0.0223758729717522
"Pullman",2015-12-15,20612.6364,727,28.3530074277854,0.811554332874828,0.0825309491059147,0.0660247592847318,0.0398899587345254
"Ellensburg",2015-12-15,11799.7826,552,21.3764177536232,0.77536231884058,0.132246376811594,0.0670289855072464,0.0253623188405797
"Airway Heights",2015-12-15,6188.1667,252,24.5562170634921,0.793650793650794,0.107142857142857,0.0992063492063492,0
NA,2015-12-15,293.7006,11,26.7000545454545,1,0,0,0
"Urban",2015-12-16,811928.616524,32219,25.200304681213,0.758403426549552,0.119122257053292,0.0961854806170272,0.0262888357801297
"NCNU",2015-12-16,734967.6812,28980,25.3612036300897,0.789855072463768,0.109213250517598,0.0816770186335404,0.0192546583850932
"Pullman",2015-12-16,21071.7919,637,33.0797361067504,0.784929356357928,0.103610675039246,0.0753532182103611,0.0361067503924647
"Ellensburg",2015-12-16,12458.8759,589,21.1525906621392,0.730050933786078,0.174872665534805,0.0747028862478778,0.0203735144312394
"Airway Heights",2015-12-16,5512.6197,223,24.7202677130045,0.753363228699552,0.125560538116592,0.121076233183857,0
NA,2015-12-16,203.6779,7,29.0968428571429,1,0,0,0
"Urban",2015-12-17,848693.736367,33371,25.4320738475623,0.745527553864133,0.122381708669204,0.105151179167541,0.026939558299122
"NCNU",2015-12-17,742699.3721,29157,25.4724207600233,0.780224302911822,0.109270501080358,0.0856398120519944,0.0248653839558254
"Pullman",2015-12-17,23109.5436,700,33.0136337142857,0.76,0.0985714285714286,0.101428571428571,0.04
"Ellensburg",2015-12-17,12817.1172,614,20.8747837133551,0.739413680781759,0.144951140065147,0.100977198697068,0.0146579804560261
"Airway Heights",2015-12-17,5947.0604,249,23.8837767068273,0.823293172690763,0.112449799196787,0.0642570281124498,0
NA,2015-12-17,135.8903,6,22.6483833333333,1,0,0,0
"Urban",2015-12-18,1036845.347729,39947,25.9555247635367,0.733647082384159,0.121511002077753,0.117530728214885,0.0273111873232032
"NCNU",2015-12-18,906963.4681,34868,26.0113418635999,0.77050590799587,0.112510037857061,0.0959045543191465,0.0210794998279225
"Pullman",2015-12-18,24893.2699,861,28.912044018583,0.693379790940767,0.114982578397213,0.153310104529617,0.0383275261324042
"Ellensburg",2015-12-18,12782.7576,625,20.45241216,0.7792,0.0944,0.1072,0.0192
"Airway Heights",2015-12-18,8585.3653,324,26.4980410493827,0.799382716049383,0.108024691358025,0.0925925925925926,0
NA,2015-12-18,37.8942,2,18.9471,1,0,0,0
"Urban",2015-12-19,1233236.527212,47242,26.1046637994158,0.7101308157995,0.12861436857034,0.133355912112104,0.027898903518056
"NCNU",2015-12-19,1054928.8659,40749,25.8884602296989,0.75911065302216,0.114358634567719,0.102922771110948,0.023607941299173
"Pullman",2015-12-19,33511.2823,1017,32.9511133726647,0.709931170108161,0.101278269419862,0.142576204523107,0.0462143559488692
